1/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.1,  ,4.3
1/5/2011,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.4
2/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.4,  ,5.1
2/2/2011,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.8,0.8,0.3
3/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,6.1,  ,5.4
3/2/2011,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.5,1,0.8
4/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,6.4,  ,6.1
4/4/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.8,0.9,vised From 1.5
5/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,6.4,  ,6.4
5/3/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.7,0.7,0.8
6/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.9,  ,6.4
6/6/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.9,0.8,vised From 0.7
7/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.5,  ,5.9
7/4/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,-0.1,0.9
8/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.8,  ,5.5
8/2/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,-0.2
9/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.7,  ,5.8
9/2/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0
10/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.6,  ,5.7
10/4/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.1,-0.2,0.5
11/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.5,  ,5.6
11/4/2011,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.2,vised From -0.1
12/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.4,  ,5.5
12/2/2011,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,0.3
1/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,4.4,  ,5.4
1/5/2012,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,0.1
2/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,4,  ,4.4
2/2/2012,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,-0.1,0.2
3/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,3.9,  ,4
3/2/2012,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.7,0.5,-0.2
4/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,3.6,  ,3.9
4/3/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.5,vised From 0.7
5/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.9,  ,3.6
5/3/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.6,0.6
6/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.7,  ,2.9
6/4/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.2,0.5
7/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.1,  ,2.7
7/3/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.3,vised From 0.0
8/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2,  ,2.1
8/2/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.4,-0.5
9/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.9,  ,2
9/4/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.2,-0.5
10/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.8,  ,2.9
10/2/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.9,0.5,vised From 0.4
11/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.6,  ,2.8
11/6/2012,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.9
12/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.3,  ,2.6
12/4/2012,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.1,-0.1,0.2
1/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.2,  ,2.3
1/7/2013,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.1,0.1
2/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,1.7,  ,2.2
2/4/2013,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
3/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,1.3,  ,1.7
3/4/2013,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.5,-0.2
4/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.5,  ,1.3
4/4/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,vised From 0.6
5/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.3,  ,0.5
5/3/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,0.2
6/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.3,  ,-0.3
6/4/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.6,-0.3,-0.2
7/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.1,  ,-0.3
7/2/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.2,-0.6
8/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0,  ,0.1
8/2/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,-0.3
9/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.9,  ,0
9/3/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.1,0
10/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.9,  ,-0.9
10/4/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,vised From 0.3
11/5/2013,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,0
12/3/2013,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.2,vised From 0.1
2014/01/07,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.5
2014/02/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,-0.1
2014/03/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1.4,-1.3,-0.8
2014/04/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1.7,-1.6,-1.4
2014/05/05,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2014/06/04,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
2014/07/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2014/08/04,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.8,-1,-1
2014/09/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,vised From 0.1
2014/10/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.1,-0.2,vised From -0.1
2014/11/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,vised From -0.1
2014/12/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-1.3,-1.3,-1.4
2015/01/08,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1.6,-1.4,-1.3
2015/02/03,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1,-0.7,-0.3
2015/03/03,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.9,-0.7,-1
2015/04/07,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.1,vised From -0.9
2015/05/05,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.3,vised From 0.5
2015/06/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.1,0.2
2015/07/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,-0.1
2015/08/04,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,0
2015/09/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2015/10/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.8,-0.6,-0.1
2015/11/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.3,-0.4,-0.8
2015/12/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.3,-0.4,evised From -0.3
2016/01/06,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,-0.3
2016/02/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.8,-0.6,-0.2
2016/03/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1,-0.7,-0.8
2016/04/04,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.7,-0.6,evised From -1.0
2016/05/03,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.1,-0.7
2016/06/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,0.1,0.3
2016/07/04,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.3,-0.3
2016/08/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.7,0.4,0.6
2016/09/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,evised From 0.7
2016/10/04,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-2.1,-2.1,evised From -2.8
2016/11/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-1.5,-1.8,evised From -2.1
2016/12/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.4,-1,-1.5
2017/01/05,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.1,0.8
2017/02/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.7,0.4,0.3
2017/03/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.7,0.6,evised From 0.7
2017/04/03,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.3,evised From 0.7
2017/05/03,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,3.9,4.1,4.5
2017/06/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.3,-0.3
2017/07/04,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.2,0
2017/08/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,evised From -0.4
2017/09/04,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2,2.2,evised From 2.5
2017/10/03,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2.5,2.3,2
2017/11/06,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.4,0.3
2017/12/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.3,evised From 0.6
2018/01/05,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6              ,0.30,0.40
2018/01/05,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2.8              ,2.50,2.50
2018/02/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.2              ,2.30,2.80
2018/03/02,6:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,1.5              ,1.60,2.20
2018/04/05,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.6              ,1.50,evised From 1.5
2018/05/03,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.1              ,2.10,1.60
2018/06/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.0              ,2.40,2.10
2018/07/03,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,3.0              ,2.40,evised From 2.0
2018/08/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,3.6              ,3.50,3.00
2018/09/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,4.0              ,3.90,3.60
2018/10/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,4.2              ,3.90,evised From 4.0
2018/11/06,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.5              ,0.40,evised From 0.3
2018/12/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,4.9              ,4.50,evised From 4.5
2019/01/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,4,4.1,4.9
2019/02/04,6:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,3,3.2,4
2019/03/04,6:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,-0.8
2019/04/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,3,3.1,evised From 3.0
2019/05/03,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.9,3,3
2019/06/05,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,0.3,-0.1
2019/07/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,1.6,1.7,2.6
2019/08/02,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.6,-0.3,-0.1
2019/09/03,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,-0.6
2019/10/03,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.8,-0.5,evised From 0.2
2019/11/05,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,-0.5
2019/12/03,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-1.9,-1.9,-1.2
2020/01/06,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,0.1
2020/02/04,6:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.3,evised From 0.2
2020/03/03,6:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.5,-0.5,evised From -0.7
2020/04/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1.3,-0.7,evised From -0.5
2020/05/05,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1.5,-1.3,evised From -0.6
2020/06/03,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-2,-1.8,-1.5
2020/07/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.6,-0.5,-2
2020/08/04,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.7,0.5,-0.6
2020/09/02,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.5,0.7
