3/17/2011,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
6/16/2011,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
8/3/2011,2:00:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,,% ,0,  ,0.25
9/15/2011,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
12/15/2011,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
3/15/2012,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
6/14/2012,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
9/13/2012,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
12/13/2012,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
3/14/2013,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
6/20/2013,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
9/19/2013,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
12/12/2013,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2014/03/20,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2014/06/19,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2014/09/18,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2014/12/11,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2014/12/18,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,,% ,-0.25,,0
2015/01/15,4:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,,% ,-0.75,,-0.25
2015/03/19,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2015/06/18,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2015/09/17,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2015/12/10,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2016/03/17,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2016/06/16,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2016/09/15,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2016/12/15,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2017/03/16,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2017/06/15,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2017/09/14,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2017/12/14,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2018/03/15,4:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75            ,-0.75,-0.75
2018/06/21,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75            ,-0.75,-0.75
2018/09/20,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75            ,-0.75,-0.75
2018/12/13,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75            ,-0.75,-0.75
2019/03/21,4:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2019/06/13,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2019/09/19,2:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2019/12/12,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2020/03/19,4:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
2020/06/18,3:30:00,Switzerland                     ,High Volatility Expected        ,SNB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.75,-0.75,-0.75
