1/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,1.9,  ,1.7
2015/10/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,-0.3,evised From -0.3
2015/10/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,-0.4
2015/11/13,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2015/11/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,-0.2,0.2
2015/12/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.4,-0.4,-0.4
2016/01/05,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,-0.4
2016/01/15,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0,0,0
2016/02/03,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,0
2016/02/22,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2016/02/29,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,0.1,-0.2
2016/03/15,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2016/03/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,-0.2
2016/04/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/04/29,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.2,0.2
2016/05/13,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0,-0.1
2016/05/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,-0.1
2016/06/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
2016/06/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.3,0.3
2016/07/13,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2016/07/29,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0,0.1
2016/08/11,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/08/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.2,0.3,0.2
2016/09/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/09/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,-0.2,-0.3,0.2
2016/10/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2016/10/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.2,-0.2
2016/11/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0,0
2016/11/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,-0.1,-0.3,-0.1
2016/12/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0,-0.1,-0.1
2017/01/04,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,-0.1
2017/01/16,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/02/03,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.4
2017/02/22,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.2
2017/02/28,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.1,0.3
2017/03/15,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,0.3
2017/03/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,0.4
2017/04/13,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0,0,0
2017/04/28,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0
2017/05/15,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,0.3
2017/05/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,0.4
2017/06/15,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2017/06/28,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.1,-0.2
2017/07/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2017/07/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.1
2017/08/11,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2017/08/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.1
2017/09/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
2017/09/29,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.3,-0.1,0.3
2017/10/13,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
2017/10/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,-0.1,-0.3
2017/11/14,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2017/11/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2017/12/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2017/12/22,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0,-0.2,-0.2
2018/01/05,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4              ,0.20,-0.20
2018/01/16,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4              ,0.40,0.40
2018/02/02,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.2              ,0.30,0.40
2018/02/22,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3              ,0.20,0.20
2018/02/28,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1              ,0.30,0.30
2018/03/16,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.0              ,0.10,0.10
2018/03/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4              ,0.10,0.00
2018/04/17,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.3              ,0.40,0.40
2018/04/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1              ,0.20,0.30
2018/05/16,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1              ,0.10,0.10
2018/05/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4              ,0.20,0.30
2018/06/15,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.3              ,0.40,evised From 0.4
2018/06/28,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3              ,0.20,0.30
2018/07/17,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.2              ,0.30,evised From 0.3
2018/07/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3              ,0.20,0.20
2018/08/13,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3              ,0.30,0.30
2018/08/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.5              ,0.20,0.30
2018/09/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.4              ,0.50,evised From 0.5
2018/09/28,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.4             ,-0.20,0.40
2018/10/16,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.5             ,-0.40,evised From -0.4
2018/10/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.0              ,0.20,-0.50
2018/11/16,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.0              ,-0.40,-0.40
2018/11/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,-0.1             ,-0.30,0.00
2018/12/14,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.2             ,-0.10,-0.20
2019/01/04,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.1,-0.2
2019/01/16,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2019/02/04,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.1
2019/02/21,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2019/02/28,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.1
2019/03/15,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.2,evised From 0.2
2019/03/29,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.1
2019/04/17,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
2019/04/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.2,0.3,0.3
2019/05/16,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2019/05/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.2,0.2
2019/06/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,0.1
2019/06/28,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,0.2
2019/07/16,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.2,0.2
2019/07/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2019/08/09,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,0.1
2019/08/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.5,0.3,0
2019/09/16,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.4,0.5,0.5
2019/09/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.5,-0.2,0.4
2019/10/16,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,,% ,-0.6,,-0.5
2019/10/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0,-0.1,-0.6
2019/11/15,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,-0.1,-0.5,-0.6
2019/11/29,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0,-0.1,-0.1
2019/12/16,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,-0.1,-0.1
2020/01/07,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,-0.2
2020/01/17,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2020/02/04,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,0.2
2020/02/21,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.2,evised From 0.2
2020/02/28,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,,% ,0,,0.1
2020/03/16,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.2,0.1
2020/03/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.1,-0.3,-0.1
2020/04/15,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.1
2020/04/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.1,-0.3,0.1
2020/05/15,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2020/05/29,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,0.1
2020/06/15,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,-0.1,0.1
2020/06/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.2
2020/07/15,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.2
2020/07/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.1,0.1
2020/08/12,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,-0.1,-0.1
2020/08/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,,% ,0.3,,-0.2
